,unitid,log_yield_per_dollar,Total expenses,Discounts and allowances from local government grants applied to auxiliary enterprises_per_dollar,Discounts and allowances from local government grants applied to tuition and fees_per_dollar,Independent operations revenue - Temporarily restricted_per_dollar,Discounts and allowances from endowments and gifts applied to auxiliary enterprises_per_dollar,Federal appropriations - Temporarily restricted_per_dollar,Federal grants and contracts - Pemanently restricted_per_dollar,Local appropriations - Total_per_dollar,Local appropriations - Unrestricted_per_dollar,Discounts and allowances from state government grants applied to auxiliary enterprises_per_dollar,Academic support-Salaries and wages_per_dollar,Hospital services-Operation and maintenance of plant_per_dollar,Local grants and contracts - Permanently restricted_per_dollar,Independent operations revenue - Permanently restricted_per_dollar,Other expenses-Interest_per_dollar,Local grants and contracts - Total_per_dollar,Independent operations-Total Amount_per_dollar,"Intangible Assets, net of accumulated amortization_per_dollar",Discounts and allowances from other federal grants applied to auxiliary enterprises_per_dollar,Temporarily restricted net assets_per_dollar,"Property, Plant, and Equipment, net of accumulated depreciation_per_dollar",State appropriations - Temporarily restricted_per_dollar,Federal grants and contracts - Temporarily restricted_per_dollar,Independent operations-Depreciation_per_dollar,New gifts and additions_per_dollar,Allowances applied to auxiliary enterprise revenues_per_dollar,Independent operations-All other_per_dollar,Hospital services-Total amount_per_dollar,Tuition and fees - Permanently restricted_per_dollar,Discounts and allowances from state government grants applied to tuition and fees_per_dollar
0,100937,0.11106558839296285,46392031.5,0.0,0.09306136981735753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015184511446396423,0.0,0.0,0.0,0.0,9.057589987194244e-05,0.0,0.0,0.0,0.4805458346871488,2.0832787666706656,0.0,0.0,0.0,0.01560302441163845,0.0,0.0,0.0,0.0,0.0
1,101073,2.544717263849523,10922549.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017437626815254695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09574288321648484,0.9412560505183666,0.0,0.09321752642171713,0.0,0.0853274267755631,0.0,0.0,0.0,0.0,0.0
2,101189,1.0010583064021,43903310.666666664,0.0,0.0,0.0,0.000597175921402799,0.0,0.0,0.0,0.0,0.00017360877538073592,0.029690228676148737,0.0,0.0,0.0,0.0,0.0,0.0,0.00785234252493578,0.00042315715416207185,0.11912879888207673,1.1901969397417957,0.0,0.031490901536567494,0.0,0.003167164341106789,0.023165515718283115,0.0,0.0,0.0,0.0023278426717280518
3,101365,2.801798500692677,5469523.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036236886083403794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6034724048630562,0.0,0.0,0.0,0.17039747612383419,0.0,0.0,0.0,0.0,0.0
4,101435,0.8878571919126474,22214008.333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04395156809835836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12230110054428868,1.3202121559181312,0.0,0.0,0.0,0.018550816845676586,0.0,0.0,0.0,0.0,0.01882636369468065
5,101453,4.218222831585885,3119203.1666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01902002856605632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.133045357363972,0.9431338740946607,0.0,0.0,0.0,0.18534861921733323,0.0,0.0,0.0,0.0,0.0
6,101541,2.18588078386843,9605200.166666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042301790656765946,0.0,0.0,0.0,0.0,0.0,0.0,0.00659375465730794,0.0,0.16833270575083106,1.316529790867971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018085932306009033
7,101693,1.369880177216872,29059493.833333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011254101736103308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18734460865781427,1.312112370298627,0.0,0.0032959624331148738,0.0,0.003944459619889112,0.0,0.0,0.0,0.0,0.0
8,101912,1.2141330712472398,53985258.666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03188987220807735,0.0,0.0,0.0,0.0,0.0,0.0201497506331605,0.0,0.0,0.43781491004062745,0.9094743431688413,0.0,0.1329157751064093,0.0011799517418878596,0.0,0.11544515399067953,0.008935735641808787,0.0,0.0,0.0
9,102049,-0.8895302150930406,167946225.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02969292297838604,0.0,0.0,0.0,5.954286843989722e-09,0.0,0.0,0.0,0.0,0.5226191061600837,1.8564713340902792,0.0,0.004245312243556308,0.0,0.017621199846119,0.0,0.0,0.0,0.0,0.0
