,unitid,uagrntt,uagrnta,upgrntt,upgrnta,ufloant,ufloana,agrnt_t,agrnt_a,pell/loans_total,pell/loans_average
0,100654,39795430.14285714,9421.285714285714,17350371.57142857,5033.142857142857,27494491.0,7581.714285714285,11807967.857142856,9441.57142857143,0.6310490189263213,0.6638528791076274
1,100663,69728941.42857143,8304.857142857143,22523804.285714287,4994.428571428572,46007132.14285714,7243.714285714285,17121986.42857143,9477.714285714286,0.48957201278652684,0.6894844791543407
2,100690,1234939.5714285714,4493.0,817355.1428571428,3546.0,2247791.1428571427,8496.57142857143,26844.0,6027.0,0.3636259291502553,0.41734481135247825
3,100706,42357157.571428575,8837.714285714286,8084300.857142857,4334.714285714285,19279696.0,6789.857142857143,12080383.57142857,10943.714285714286,0.4193168220672596,0.638410233752025
4,100724,32327937.85714286,8284.57142857143,14405706.142857144,4549.428571428572,31536271.14285714,9402.0,7806731.142857143,8731.285714285714,0.45679801767305606,0.4838788099796396
5,100751,271305440.5714286,13944.42857142857,26045320.85714286,4445.0,81115379.71428572,6584.857142857143,73069264.85714285,15447.142857142857,0.32108979763002776,0.6750336269362607
6,100760,5737663.428571428,4390.285714285715,3118534.8571428573,4075.5714285714284,1913452.4285714286,4629.857142857143,1559597.857142857,5631.142857142857,1.6297948203871133,0.8802801690888332
8,100830,22214248.285714287,6998.714285714285,9732622.142857144,4838.285714285715,16632043.142857144,6913.571428571428,3327667.8571428573,5734.285714285715,0.5851729735944649,0.69982436202087
9,100858,112527309.42857143,8966.285714285714,15294741.142857144,4491.714285714285,47783828.14285714,6556.857142857143,28879630.714285713,9283.42857142857,0.32008195528267747,0.6850407425160137
10,100937,24057036.42857143,19507.714285714286,1205670.142857143,4593.428571428572,4108984.5714285714,6746.428571428572,6540308.571428572,18729.0,0.2934228936367039,0.6808681842244574
11,101028,6254659.571428572,5186.285714285715,3526390.1428571427,4422.285714285715,1853886.5714285714,4712.0,1702295.2857142857,6827.0,1.9021606808121871,0.9385156439485812
12,101073,2160186.6666666665,4801.0,1108096.0,2770.0,1393289.3333333333,3744.3333333333335,666775.6666666666,5121.666666666667,0.7953093255576492,0.7397845633401584
13,101116,1689938.2857142857,5301.857142857143,917786.5714285715,3814.714285714286,2011485.5714285714,8239.0,108063.28571428571,7262.428571428572,0.45627300760440104,0.46300695299360184
14,101143,5817945.142857143,4511.0,3343213.714285714,4308.714285714285,1517785.7142857143,4991.714285714285,1355533.4285714286,5346.714285714285,2.2026915148948185,0.863173258542728
15,101161,19149723.42857143,4717.428571428572,10436477.57142857,4651.285714285715,9689976.57142857,5390.142857142857,5611618.142857143,5807.142857142857,1.0770384731580362,0.8629243857835733
16,101189,16272020.714285715,8992.142857142857,5562727.142857143,4548.0,13029256.0,8219.57142857143,3846176.0,13336.57142857143,0.42694127299802404,0.5533135199958287
18,101277,394782.71428571426,3767.8571428571427,368469.85714285716,3950.5714285714284,433899.28571428574,5783.714285714285,197056.85714285713,4072.1428571428573,0.8492059546405601,0.6830509311860891
20,101295,15378406.42857143,4711.857142857143,11108592.57142857,4635.285714285715,9003747.857142856,5702.857142857143,3642543.0,5224.285714285715,1.23377428462925,0.8128006012024048
22,101365,1732193.7142857143,4480.857142857143,1216917.857142857,3790.285714285714,3027983.4285714286,8143.0,71763.57142857143,4835.142857142857,0.40189052742504155,0.4654655181488044
23,101435,14003604.857142856,13653.42857142857,2039158.0,4423.428571428572,5579545.142857143,7244.714285714285,3691540.714285714,14576.714285714286,0.36547029332857034,0.6105732258000908
24,101453,391895.28571428574,7065.571428571428,112404.14285714286,3606.5714285714284,35646.42857142857,4390.571428571428,32260.0,10463.0,3.1533072838392946,0.8214355436975337
27,101480,38944749.71428572,7203.428571428572,13837749.142857144,4608.714285714285,29402361.285714287,5948.571428571428,9111048.57142857,8617.857142857143,0.47063394019243227,0.774759846301633
29,101505,16177999.0,4139.714285714285,10926913.42857143,4224.285714285715,6893340.571428572,3999.0,3325284.8571428573,5097.0,1.5851405157408234,1.056335512449541
30,101514,20609356.714285713,4053.8571428571427,15666310.0,4840.428571428572,11016703.57142857,4972.285714285715,3694085.285714286,4847.285714285715,1.4220506069192982,0.9734815836350054
31,101541,3913606.0,12932.666666666666,665476.5,3764.6666666666665,1616946.0,7685.333333333333,1021969.6666666666,15345.666666666666,0.41156383701125454,0.4898507980569049
33,101587,9018866.0,5734.285714285715,5109650.142857143,4598.714285714285,11528615.142857144,8424.857142857143,2043510.142857143,6197.571428571428,0.44321456476261684,0.5458507138739105
35,101648,3817686.285714286,9529.142857142857,772834.4285714285,4598.285714285715,1072424.0,5313.571428571428,2164171.1428571427,8460.714285714286,0.7206426083073751,0.8653851324102703
36,101675,11316117.714285715,7409.428571428572,7091608.142857143,5131.285714285715,10683236.857142856,7187.0,2666457.5714285714,7248.142857142857,0.6638070687458048,0.7139676797392117
37,101693,15589179.285714285,11995.285714285714,2656928.285714286,4340.142857142857,8399279.42857143,8697.857142857143,3540277.1428571427,14345.57142857143,0.31632812175248504,0.49898989898989893
38,101709,20129295.42857143,10283.42857142857,4498489.571428572,4756.714285714285,9215600.57142857,6894.285714285715,4664954.0,10628.285714285714,0.4881385143118493,0.6899502693742229
39,101736,10603777.57142857,4397.142857142857,8154977.428571428,5231.142857142857,4210759.285714285,4962.285714285715,2916862.714285714,5296.714285714285,1.936699980984088,1.0541801013357899
40,101879,26609490.14285714,6339.857142857143,10323832.857142856,4450.0,20217239.57142857,5896.142857142857,6330010.857142857,6901.714285714285,0.5106450275107149,0.7547306956121436
41,101897,8342221.857142857,4068.4285714285716,5336890.0,4227.714285714285,512450.71428571426,3144.25,2162599.5714285714,5589.0,10.414445430989183,1.3445859221481389
42,101912,12294543.142857144,8868.42857142857,3522117.8571428573,4350.857142857143,7364067.142857143,6420.714285714285,3562978.714285714,10966.42857142857,0.4782843215327245,0.6776282122594283
47,102049,49826497.0,15938.142857142857,1790133.2857142857,4443.142857142857,7273059.142857143,6713.714285714285,14116222.285714285,16213.714285714286,0.24613209525078208,0.6618010043407949
48,102058,983086.8333333334,4106.6,938869.0,3986.8,1343482.5,6127.8,210494.8,3575.0,0.6988323256908817,0.6506087013283723
50,102076,8941245.57142857,5394.857142857143,4976341.0,4590.857142857143,2063058.857142857,4147.571428571428,2829762.1428571427,6126.0,2.4121178039931275,1.1068783797747392
51,102094,45224906.28571428,6540.285714285715,18974822.14285714,4598.0,60854435.71428572,10397.714285714286,11314609.42857143,7188.142857142857,0.31180672238823764,0.4422125741921301
52,102234,32496216.714285713,26094.714285714286,2108924.5714285714,4950.571428571428,7765401.428571428,8108.428571428572,10535518.42857143,30971.285714285714,0.27157959454216424,0.6105463450730281
53,102261,613483.0,5333.0,410346.5,4406.0,1035045.0,8631.5,65089.0,7232.5,0.3964528112304296,0.5104558883160517
54,102270,5113872.571428572,6953.142857142857,2934187.285714286,4764.857142857143,4784340.857142857,7186.0,1280858.142857143,7324.857142857143,0.6132897662033516,0.6630750268378991
55,102298,8947445.0,9626.57142857143,4458724.142857143,5350.571428571428,5673307.571428572,7075.714285714285,1761681.0,8458.285714285714,0.7859126420911479,0.756188168786594
57,102368,58432459.0,6168.857142857143,24687691.14285714,4343.142857142857,58029715.85714286,6643.571428571428,10692025.42857143,8388.42857142857,0.42543188051503,0.6537361574024299
58,102377,10860595.285714285,10818.857142857143,3626179.5714285714,4301.857142857143,6199111.285714285,5840.428571428572,2825859.714285714,5763.857142857143,0.5849515203550261,0.7365653205488835
61,102553,35026517.0,5700.0,12079682.714285715,3794.285714285714,20920858.285714287,6658.0,5679199.0,6730.857142857143,0.5773990029144392,0.5698837059606059
62,102580,157830.14285714287,5717.571428571428,59878.42857142857,4270.0,42410.142857142855,5615.285714285715,24646.285714285714,4961.714285714285,1.4118893391405696,0.7604243518966087
63,102614,20019836.14285714,6465.428571428572,5517166.714285715,3727.714285714286,10279263.57142857,6883.857142857143,3868899.4285714286,7797.571428571428,0.5367278186757265,0.5415153464627389
64,102632,4006010.0,5180.0,1354898.0,3611.8571428571427,2543315.5714285714,6760.428571428572,661946.7142857143,6590.428571428572,0.5327290153140369,0.53426452253661
65,102669,3034009.5714285714,12239.0,461735.28571428574,4173.857142857143,1098928.0,7433.142857142857,426866.5714285714,13931.42857142857,0.42016882426718194,0.5615198339483395
66,102711,583417.1428571428,3741.714285714286,290626.4285714286,4487.428571428572,204986.14285714287,5298.142857142857,396652.4285714286,4102.0,1.4177857318578329,0.846981422061639
67,102845,10801314.857142856,5062.714285714285,6413922.857142857,3842.4285714285716,15092330.285714285,7913.0,3719273.5714285714,6258.571428571428,0.4249789618780067,0.4855843006986695
68,103501,2764097.714285714,5799.285714285715,2056704.142857143,4918.857142857143,3064025.5714285714,6888.428571428572,1358610.4285714286,5192.0,0.6712424863667914,0.7140753644828802
70,103741,558865.8571428572,4455.857142857143,522806.4285714286,4192.142857142857,881983.8571428572,8215.0,224223.7142857143,5019.285714285715,0.5927619018618254,0.51030345187375
71,103787,1065841.0,12998.0,320537.0,4784.0,333170.0,10096.0,116732.0,5306.0,0.9620824203859891,0.47385103011093505
72,103811,2329510.3333333335,3760.3333333333335,1786344.0,3445.3333333333335,4288420.666666667,5482.333333333333,770802.3333333334,3586.6666666666665,0.4165505529541489,0.6284428771204476
73,103893,3340335.5714285714,3959.0,2944306.4285714286,3605.4285714285716,5731019.285714285,7580.0,1431254.2857142857,4244.571428571428,0.5137491747603612,0.4756502073124765
74,103909,2382323.0,4281.166666666667,1912187.6666666667,3711.8333333333335,3881230.3333333335,8206.5,739623.1666666666,4627.333333333333,0.49267564726683316,0.4523040679136457
75,103927,1451961.8333333333,4101.666666666667,1279456.3333333333,3622.0,2199711.5,7783.5,576119.8333333334,4356.0,0.581647335722586,0.46534335453202286
76,103945,475597.1666666667,5926.166666666667,368110.0,4857.0,741616.0,9369.833333333334,57672.5,5710.0,0.4963619986623805,0.5183656770842597
77,103954,264254.5714285714,4259.571428571428,235424.85714285713,4017.1428571428573,266597.4285714286,5595.142857142857,45534.142857142855,4837.285714285715,0.8830724977520948,0.7179696675688098
78,103963,4074765.0,5014.142857142857,3533591.8571428573,4455.428571428572,6225612.571428572,8713.142857142857,3146105.285714286,5019.571428571428,0.5675894245908745,0.5113457502623295
79,104090,5871367.857142857,4877.285714285715,5129250.857142857,4401.571428571428,10809459.57142857,8748.285714285714,3426395.0,4974.714285714285,0.474515013747813,0.5031353081420034
80,104151,414689872.0,10905.285714285714,67139397.57142857,4453.0,112136615.42857143,6429.285714285715,103335944.85714285,11974.0,0.598728589362454,0.6926119320075547
81,104160,18306022.714285713,4473.0,15053572.285714285,4282.571428571428,670505.8571428572,4203.857142857143,3153821.8571428573,5563.714285714285,22.451067541542727,1.0187243008121791
82,104179,266280783.85714287,10922.142857142857,46503553.428571425,4630.714285714285,79947585.57142857,6466.857142857143,61643037.28571428,11770.285714285714,0.5816755202322299,0.7160687461341344
83,104188,388715.6,4202.8,329103.2,3791.8,947770.8,9827.6,90220.0,4599.8,0.3472392270367477,0.385831739183524
84,104346,10355563.714285715,3561.8571428571427,8587035.0,3907.4285714285716,2984978.1428571427,5313.857142857143,1729289.0,4971.285714285715,2.876749707715017,0.7353281178589671
85,104364,1917488.0,5765.0,1331773.3333333333,3898.0,1937449.3333333333,6477.666666666667,382532.0,5823.5,0.6873848572040078,0.601759892965574
86,104391,229825.7142857143,4461.428571428572,226006.57142857142,4363.428571428572,269586.5714285714,5340.285714285715,213022.14285714287,4435.714285714285,0.8383450638172948,0.8170777379487454
87,104425,8347780.142857143,4542.571428571428,5620562.285714285,3861.1428571428573,1485335.857142857,5502.857142857143,1955064.4285714286,5336.142857142857,3.7840346065069843,0.7016614745586708
88,104434,173072.16666666666,4509.333333333333,161707.33333333334,4248.0,300444.1666666667,8422.5,72888.0,5133.5,0.5382275686275597,0.5043633125556545
89,104443,301573.28571428574,4380.571428571428,276283.4285714286,4059.1428571428573,496480.71428571426,8359.0,89358.42857142857,5105.285714285715,0.5564837074666978,0.48560149026712013
90,104504,299790.5,1990.75,286140.0,1905.0,520246.0,3105.0,46904.0,3927.25,0.5500090341876728,0.6135265700483091
91,104568,1507188.4285714286,4296.285714285715,1169750.2857142857,3528.8571428571427,1853976.2857142857,5265.285714285715,376990.28571428574,3928.285714285714,0.6309413419835698,0.6702119000461241
93,104586,37855747.0,16452.85714285714,2707593.285714286,4603.428571428572,7734222.0,6835.142857142857,10362834.42857143,16796.428571428572,0.3500795924547144,0.673494126990762
94,104708,27652531.0,3647.714285714286,22028386.42857143,3666.714285714286,7984709.142857143,3764.5714285714284,4732737.0,4493.142857142857,2.7588213965535986,0.9740057680631452
95,104717,271128725.0,7591.571428571428,110227915.14285715,4826.714285714285,243370769.14285713,8158.142857142857,35953886.571428575,10427.714285714286,0.4529217519880296,0.5916437564571768
96,104911,684474.0,4645.5,557865.5,3854.0,769739.5,4932.5,399778.5,4735.0,0.724745839339153,0.7813482007095793
97,105145,7222231.857142857,3204.5714285714284,5839472.428571428,3465.4285714285716,4401798.0,4683.0,964603.8571428572,4769.571428571428,1.326610723293397,0.740001830328544
98,105154,26384455.714285713,3543.285714285714,20399197.57142857,3578.4285714285716,11109539.142857144,3850.285714285714,3939657.0,4384.285714285715,1.8361875599983097,0.9293929949539923
99,105163,1243542.0,3923.0,1169216.0,3712.0,2464730.0,8355.0,167313.0,4081.0,0.47437893805812403,0.4442848593656493
100,105172,1349795.0,4103.0,1160429.0,3649.0,2996920.0,8442.0,172362.0,4104.0,0.38720719939137516,0.4322435441838427
101,105206,7773561.857142857,3806.5714285714284,5881988.428571428,3504.0,3077867.1428571427,5596.0,486283.0,4556.428571428572,1.9110598851616634,0.6261615439599714
102,105215,4441881.0,3683.8571428571427,2876413.285714286,3965.8571428571427,5838590.571428572,6814.714285714285,1608055.857142857,4706.714285714285,0.49265541923596334,0.5819550133115318
104,105330,173848986.42857143,9246.0,37773618.428571425,4274.428571428572,75923642.42857143,6661.142857142857,46392676.14285714,10768.857142857143,0.49752115705076516,0.6416959766663808
107,105428,19039878.85714286,3564.1428571428573,15525113.285714285,3633.8571428571427,8289669.285714285,4539.142857142857,2395791.1428571427,4968.428571428572,1.8728266171569656,0.8005602064581104
108,105482,204941.25,2046.5,198772.75,1984.5,541604.0,3703.25,67719.5,3568.0,0.3670075368719581,0.5358806453790589
109,105525,31838885.714285713,3920.8571428571427,28340211.285714287,3909.714285714286,9241298.285714285,3802.0,5592997.285714285,5054.857142857143,3.066691541547162,1.028330953633426
110,105534,9756552.714285715,5325.285714285715,7949015.142857143,4759.714285714285,18326028.57142857,8616.0,5913028.714285715,5445.285714285715,0.4337554703614375,0.5524273776362912
111,105543,4642131.0,5584.0,3491361.0,4399.142857142857,6430719.714285715,7370.428571428572,3303349.714285714,5632.285714285715,0.5429191684787648,0.5968639156474715
112,105589,5191726.857142857,13399.285714285714,847448.2857142857,4411.571428571428,1957884.0,7942.142857142857,952170.8571428572,19110.285714285714,0.432838863647839,0.5554636208292113
113,105659,4924567.0,4863.714285714285,3464401.8571428573,4007.1428571428573,5847978.285714285,6365.285714285715,3301946.8571428573,5191.428571428572,0.5924101779936256,0.6295307134681419
114,105668,9104099.57142857,2606.8571428571427,7578638.285714285,3069.1428571428573,7382454.142857143,3869.714285714286,317185.5714285714,4351.285714285715,1.0265743801533749,0.7931187241582989
115,105677,65514.28571428572,3535.714285714286,65514.28571428572,3535.714285714286,191184.85714285713,7744.428571428572,28914.14285714286,3459.5714285714284,0.3426750773746277,0.4565494087915737
116,105701,166310.66666666666,5005.666666666667,132433.66666666666,4954.666666666667,139786.33333333334,6839.0,107882.0,4801.0,0.9474006757932939,0.7244723887507921
117,105747,7630424.714285715,3446.285714285714,5618314.857142857,3617.1428571428573,3792875.285714286,3959.285714285714,1086407.857142857,4249.428571428572,1.4812812006511304,0.9135847014252211
118,105792,7833577.714285715,3483.714285714286,6306126.571428572,3775.714285714286,2479144.714285714,4189.714285714285,1373037.857142857,4625.714285714285,2.543670216220306,0.9011865793780688
119,105899,9339429.714285715,13581.0,1265556.4285714286,4248.571428571428,3424302.8571428573,7040.142857142857,2455876.285714286,14257.285714285714,0.36958075303753174,0.6034780138390049
120,105987,968997.6666666666,4181.333333333333,946476.6666666666,4144.666666666667,1344964.3333333333,8067.666666666667,1072676.5,4398.5,0.7037187851078083,0.5137379663678057
121,106041,8135204.571428572,4272.285714285715,5171815.142857143,3846.0,11006019.57142857,6549.0,3944022.285714286,5427.714285714285,0.46990786353706676,0.587265231333028
122,106102,1417535.6666666667,3976.3333333333335,928285.6666666666,3705.3333333333335,2181395.6666666665,8465.666666666666,43776.666666666664,6363.666666666667,0.4255466721840314,0.43768949088475023
123,106111,543021.8571428572,4397.0,516616.5714285714,4206.857142857143,874841.1428571428,8318.714285714286,168773.14285714287,5034.571428571428,0.5905261494005116,0.5057100170012536
124,106148,12202988.42857143,4692.142857142857,7408224.285714285,3562.8571428571427,3930701.714285714,6269.714285714285,1767359.857142857,5164.285714285715,1.8847078267958843,0.5682646737149107
125,106245,36325498.571428575,7420.571428571428,14575948.142857144,4412.571428571428,29453283.85714286,7920.0,5266016.571428572,8664.857142857143,0.4948836338098938,0.5571428571428572
127,106281,240347.0,5862.0,104351.0,2609.0,236650.0,5916.0,78446.0,5230.0,0.44095077118106907,0.44100743745774174
128,106306,3879749.714285714,6286.0,2474920.1428571427,4407.142857142857,3114031.714285714,6050.285714285715,1216007.2857142857,5954.857142857143,0.7947639490963988,0.7284189648658859
129,106315,532383.0,4519.857142857143,471059.28571428574,4151.285714285715,835477.2857142857,7892.714285714285,16058.57142857143,4204.714285714285,0.5638205774936859,0.5259642708465312
130,106324,134510.0,4366.0,103686.85714285714,3598.285714285714,130693.28571428571,5004.142857142857,82138.28571428571,3961.8571428571427,0.7933602447606337,0.7190613491678324
131,106342,15686981.42857143,23393.571428571428,1211530.0,4438.0,2789163.714285714,6826.285714285715,4150005.285714286,20576.571428571428,0.4343703432662305,0.6501339360455383
132,106351,723590.1428571428,5247.571428571428,627058.5714285715,4702.142857142857,1099077.4285714286,8747.0,25300.0,5776.333333333333,0.5705317524749979,0.5375720655245063
133,106360,157696.7142857143,4320.714285714285,144881.85714285713,3970.285714285714,185262.57142857142,5685.428571428572,70708.57142857143,4530.0,0.7820352272219043,0.6983265490728177
134,106397,97735549.71428572,7220.0,19197057.14285714,4215.857142857143,55959960.28571428,6601.857142857143,20849316.57142857,6933.0,0.34304987074406224,0.6385865449116049
135,106412,24460525.57142857,10591.57142857143,8601740.42857143,4860.857142857143,10208439.42857143,6141.857142857143,5566671.428571428,10005.42857142857,0.8426107132983359,0.791431163212616
136,106449,8644999.714285715,4164.428571428572,5345675.285714285,4372.142857142857,2282765.285714286,4802.857142857143,2658028.1428571427,4816.857142857143,2.3417542395479365,0.910321237358715
137,106458,66199268.71428572,8931.0,17975877.714285713,4663.857142857143,33472292.285714287,7015.428571428572,13188822.142857144,9474.714285714286,0.5370375461843608,0.6648000325812495
138,106467,52567322.14285714,6925.142857142857,18384450.714285713,4348.428571428572,29399971.14285714,6813.428571428572,12316729.0,7304.285714285715,0.6253220666426504,0.6382144504549838
139,106485,17310043.57142857,7368.0,7204773.428571428,4445.428571428572,10273859.57142857,6469.285714285715,3323520.0,6736.142857142857,0.7012723289120849,0.6871591034558905
140,106494,203078.42857142858,3730.5714285714284,195950.57142857142,3630.1428571428573,278710.85714285716,5457.142857142857,86196.71428571429,3868.5714285714284,0.7030604169400341,0.6652094240837697
141,106546,1624704.5714285714,2724.285714285714,1063514.4285714286,2259.5714285714284,2737382.4285714286,4856.714285714285,22184.428571428572,2303.714285714286,0.3885151075242527,0.46524693355296054
142,106625,5705790.857142857,5134.857142857143,4414274.0,5304.285714285715,1981644.7142857143,5419.428571428572,1416600.4285714286,5706.142857142857,2.227580942324028,0.9787536904259806
143,106704,61546239.428571425,7816.571428571428,16765543.57142857,4463.428571428572,35709013.428571425,7809.428571428572,13605088.42857143,7437.285714285715,0.4695045301367569,0.5715435554092123
144,106713,5594590.285714285,9392.57142857143,1470288.4285714286,4296.142857142857,3320469.714285714,7404.428571428572,1071616.4285714286,9175.57142857143,0.44279531364065194,0.5802126140726592
146,106810,1772754.0,9165.142857142857,483540.71428571426,4622.0,1039603.5714285715,7126.285714285715,439668.71428571426,7457.285714285715,0.4651202896708566,0.6485847165423783
148,106883,2833496.4285714286,4604.0,2347618.285714286,4591.285714285715,203596.2857142857,3585.4285714285716,823242.7142857143,5531.857142857143,11.530752034488422,1.280540282094191
149,106892,1301136.0,4153.428571428572,1135921.2857142857,3739.0,893495.0,2990.8571428571427,810457.8571428572,3619.714285714286,1.2713236064155766,1.2501432938479176
150,106908,1993544.142857143,4982.428571428572,1733100.857142857,4575.714285714285,3384467.714285714,8786.57142857143,488196.28571428574,4892.857142857143,0.512074867734002,0.5207622020615874
151,106980,8397194.142857144,4461.857142857143,6415919.0,3846.285714285714,4738757.428571428,5110.142857142857,1524290.2857142857,4737.571428571428,1.353924334956765,0.7526767493220766
152,106999,3853648.0,3636.1428571428573,2712573.1428571427,4266.0,1080967.857142857,5099.142857142857,1147738.857142857,5138.428571428572,2.5093929712460064,0.8366111951588503
153,107044,37238341.0,10540.142857142857,4323226.142857143,4299.428571428572,15940343.42857143,7296.857142857143,9273688.142857144,10667.142857142857,0.27121286076611145,0.5892164924233525
154,107071,26202615.57142857,9733.0,6999706.285714285,4592.0,10782903.285714285,6445.714285714285,4886981.285714285,7335.857142857143,0.6491485734633118,0.7124113475177305
155,107080,42987604.71428572,35810.857142857145,1382400.5714285714,4464.285714285715,3923978.0,6455.428571428572,12394583.714285715,38021.857142857145,0.3522956987599246,0.6915552801628752
156,107099,264701.85714285716,4392.857142857143,258878.14285714287,4349.0,296826.85714285716,6098.142857142857,53989.142857142855,5353.0,0.8721520193590492,0.7131679434019725
158,107141,25384940.714285713,17398.571428571428,2297533.5714285714,4240.285714285715,6026611.714285715,6854.857142857143,5745331.0,17865.428571428572,0.3812313917590557,0.6185811937312438
